Cross,Replicate,Mother_strain,Father_strain,Treatment,Block,Generation,Female_offspring,Male_offspring,Pre_window_female_offspring,Pre_window_male_offspring,Count_conditions
1,1,P1_UBI_female,P2_UBI_female,Female,1,1,20,25,17,14,Normal
1,4,P1_UBI_female,P2_UBI_female,Female,1,1,54,59,1,0,Normal
1,5,P1_UBI_female,P2_UBI_female,Female,1,1,37,43,NA,NA,Normal
1,6,P1_UBI_female,P2_UBI_female,Female,1,1,43,49,NA,NA,Normal
1,8,P1_UBI_female,P2_UBI_female,Female,1,1,41,53,NA,NA,Normal
2,1,P2_UBI_female,P1_UBI_female,Female,1,1,55,60,0,0,Normal
2,3,P2_UBI_female,P1_UBI_female,Female,1,1,56,74,1,0,Normal
2,5,P2_UBI_female,P1_UBI_female,Female,1,1,55,56,NA,NA,Normal
2,6,P2_UBI_female,P1_UBI_female,Female,1,1,43,43,NA,NA,Normal
2,7,P2_UBI_female,P1_UBI_female,Female,1,1,42,44,NA,NA,Normal
2,8,P2_UBI_female,P1_UBI_female,Female,1,1,44,40,NA,NA,Normal
2,10,P2_UBI_female,P1_UBI_female,Female,1,1,53,57,NA,NA,Normal
3,3,P1_UBI_female,P3_3xp_female,Female,1,1,29,47,10,2,Normal
3,5,P1_UBI_female,P3_3xp_female,Female,1,1,31,43,4,0,Normal
3,6,P1_UBI_female,P3_3xp_female,Female,1,1,51,44,NA,NA,Normal
3,7,P1_UBI_female,P3_3xp_female,Female,1,1,71,64,NA,NA,Normal
3,8,P1_UBI_female,P3_3xp_female,Female,1,1,48,54,NA,NA,Normal
3,10,P1_UBI_female,P3_3xp_female,Female,1,1,51,53,NA,NA,Normal
4,1,P3_3xp_female,P1_UBI_female,Female,1,1,54,59,2,0,Normal
4,2,P3_3xp_female,P1_UBI_female,Female,1,1,58,66,0,0,Normal
4,7,P3_3xp_female,P1_UBI_female,Female,1,1,61,63,NA,NA,Normal
4,9,P3_3xp_female,P1_UBI_female,Female,1,1,44,45,NA,NA,Normal
5,2,P1_UBI_female,P4_3xp_female,Female,1,1,65,46,0,0,Normal
5,3,P1_UBI_female,P4_3xp_female,Female,1,1,20,31,11,5,Normal
5,4,P1_UBI_female,P4_3xp_female,Female,1,1,57,62,NA,NA,Normal
5,5,P1_UBI_female,P4_3xp_female,Female,1,1,44,57,NA,NA,Normal
5,7,P1_UBI_female,P4_3xp_female,Female,1,1,8,17,NA,NA,Normal
6,1,P4_3xp_female,P1_UBI_female,Female,1,1,57,59,7,7,Normal
6,6,P4_3xp_female,P1_UBI_female,Female,1,1,87,62,3,0,Normal
6,7,P4_3xp_female,P1_UBI_female,Female,1,1,49,53,NA,NA,Normal
6,9,P4_3xp_female,P1_UBI_female,Female,1,1,54,63,NA,NA,Normal
6,10,P4_3xp_female,P1_UBI_female,Female,1,1,55,71,NA,NA,Normal
7,3,P2_UBI_female,P3_3xp_female,Female,1,1,55,64,7,2,Normal
7,4,P2_UBI_female,P3_3xp_female,Female,1,1,45,65,11,9,Normal
7,5,P2_UBI_female,P3_3xp_female,Female,1,1,49,46,NA,NA,Normal
7,6,P2_UBI_female,P3_3xp_female,Female,1,1,56,67,NA,NA,Normal
7,8,P2_UBI_female,P3_3xp_female,Female,1,1,23,29,NA,NA,Normal
8,3,P3_3xp_female,P2_UBI_female,Female,1,1,62,60,4,1,Normal
8,4,P3_3xp_female,P2_UBI_female,Female,1,1,0,0,NA,NA,Normal
8,7,P3_3xp_female,P2_UBI_female,Female,1,1,47,43,4,2,Normal
8,10,P3_3xp_female,P2_UBI_female,Female,1,1,45,41,NA,NA,Normal
9,1,P2_UBI_female,P4_3xp_female,Female,1,1,38,59,16,10,Normal
9,2,P2_UBI_female,P4_3xp_female,Female,1,1,42,65,18,6,Normal
9,4,P2_UBI_female,P4_3xp_female,Female,1,1,0,0,NA,NA,Normal
9,5,P2_UBI_female,P4_3xp_female,Female,1,1,51,67,NA,NA,Normal
9,6,P2_UBI_female,P4_3xp_female,Female,1,1,28,35,NA,NA,Normal
10,2,P4_3xp_female,P2_UBI_female,Female,1,1,40,44,15,15,Normal
10,3,P4_3xp_female,P2_UBI_female,Female,1,1,54,50,9,14,Normal
10,4,P4_3xp_female,P2_UBI_female,Female,1,1,41,52,NA,NA,Normal
10,5,P4_3xp_female,P2_UBI_female,Female,1,1,59,62,NA,NA,Normal
10,6,P4_3xp_female,P2_UBI_female,Female,1,1,56,41,NA,NA,Normal
11,1,P3_3xp_female,P4_3xp_female,Female,1,1,76,42,1,0,Normal
11,3,P3_3xp_female,P4_3xp_female,Female,1,1,60,52,0,0,Normal
11,4,P3_3xp_female,P4_3xp_female,Female,1,1,54,40,NA,NA,Normal
11,5,P3_3xp_female,P4_3xp_female,Female,1,1,57,55,NA,NA,Normal
11,7,P3_3xp_female,P4_3xp_female,Female,1,1,28,48,NA,NA,Normal
12,6,P4_3xp_female,P3_3xp_female,Female,1,1,58,54,0,0,Normal
12,7,P4_3xp_female,P3_3xp_female,Female,1,1,65,55,1,0,Normal
12,8,P4_3xp_female,P3_3xp_female,Female,1,1,57,50,NA,NA,Normal
12,9,P4_3xp_female,P3_3xp_female,Female,1,1,19,19,NA,NA,Normal
13,1,P1_3xp_male,P2_3xp_male,Male,1,1,48,53,16,8,Normal
13,2,P1_3xp_male,P2_3xp_male,Male,1,1,42,42,8,5,Normal
13,4,P1_3xp_male,P2_3xp_male,Male,1,1,21,16,NA,NA,Normal
13,5,P1_3xp_male,P2_3xp_male,Male,1,1,57,55,NA,NA,Normal
14,2,P2_3xp_male,P1_3xp_male,Male,1,1,48,39,0,0,Normal
14,3,P2_3xp_male,P1_3xp_male,Male,1,1,43,18,0,0,Normal
14,5,P2_3xp_male,P1_3xp_male,Male,1,1,42,46,NA,NA,Normal
14,6,P2_3xp_male,P1_3xp_male,Male,1,1,35,42,NA,NA,Normal
14,7,P2_3xp_male,P1_3xp_male,Male,1,1,56,47,NA,NA,Normal
15,1,P1_3xp_male,P3_UBI_male,Male,1,1,62,52,0,0,Normal
15,2,P1_3xp_male,P3_UBI_male,Male,1,1,46,33,0,0,Normal
15,3,P1_3xp_male,P3_UBI_male,Male,1,1,54,65,NA,NA,Normal
15,4,P1_3xp_male,P3_UBI_male,Male,1,1,44,65,NA,NA,Normal
15,5,P1_3xp_male,P3_UBI_male,Male,1,1,72,55,NA,NA,Normal
16,1,P3_UBI_male,P1_3xp_male,Male,1,1,56,69,5,2,Normal
16,2,P3_UBI_male,P1_3xp_male,Male,1,1,40,66,13,5,Normal
16,3,P3_UBI_male,P1_3xp_male,Male,1,1,38,48,NA,NA,Normal
16,4,P3_UBI_male,P1_3xp_male,Male,1,1,34,49,NA,NA,Normal
16,5,P3_UBI_male,P1_3xp_male,Male,1,1,48,53,NA,NA,Normal
16,7,P3_UBI_male,P1_3xp_male,Male,1,1,74,68,NA,NA,Normal
17,1,P1_3xp_male,P4_UBI_male,Male,1,1,28,25,14,3,Normal
17,3,P1_3xp_male,P4_UBI_male,Male,1,1,61,56,3,2,Normal
17,4,P1_3xp_male,P4_UBI_male,Male,1,1,57,69,NA,NA,Normal
17,5,P1_3xp_male,P4_UBI_male,Male,1,1,61,73,NA,NA,Normal
17,6,P1_3xp_male,P4_UBI_male,Male,1,1,0,0,NA,NA,Normal
18,2,P4_UBI_male,P1_3xp_male,Male,1,1,54,64,0,0,Normal
18,3,P4_UBI_male,P1_3xp_male,Male,1,1,69,65,7,0,Normal
18,4,P4_UBI_male,P1_3xp_male,Male,1,1,40,43,NA,NA,Normal
18,6,P4_UBI_male,P1_3xp_male,Male,1,1,59,62,NA,NA,Normal
18,7,P4_UBI_male,P1_3xp_male,Male,1,1,48,49,NA,NA,Normal
19,1,P2_3xp_male,P3_UBI_male,Male,1,1,35,55,14,3,Normal
19,3,P2_3xp_male,P3_UBI_male,Male,1,1,62,57,9,0,Normal
19,5,P2_3xp_male,P3_UBI_male,Male,1,1,40,43,NA,NA,Normal
19,6,P2_3xp_male,P3_UBI_male,Male,1,1,28,62,NA,NA,Normal
19,8,P2_3xp_male,P3_UBI_male,Male,1,1,25,33,NA,NA,Normal
20,2,P3_UBI_male,P2_3xp_male,Male,1,1,65,49,7,1,Normal
20,4,P3_UBI_male,P2_3xp_male,Male,1,1,23,25,9,6,Normal
20,5,P3_UBI_male,P2_3xp_male,Male,1,1,39,47,NA,NA,Normal
20,6,P3_UBI_male,P2_3xp_male,Male,1,1,36,51,NA,NA,Normal
20,7,P3_UBI_male,P2_3xp_male,Male,1,1,0,0,NA,NA,Normal
21,1,P2_3xp_male,P4_UBI_male,Male,1,1,54,57,12,3,Normal
21,2,P2_3xp_male,P4_UBI_male,Male,1,1,27,35,25,11,Normal
21,3,P2_3xp_male,P4_UBI_male,Male,1,1,37,28,NA,NA,Normal
21,5,P2_3xp_male,P4_UBI_male,Male,1,1,54,51,NA,NA,Normal
21,7,P2_3xp_male,P4_UBI_male,Male,1,1,58,62,NA,NA,Normal
22,3,P4_UBI_male,P2_3xp_male,Male,1,1,43,42,11,6,Normal
22,6,P4_UBI_male,P2_3xp_male,Male,1,1,58,59,1,0,Normal
22,8,P4_UBI_male,P2_3xp_male,Male,1,1,56,47,NA,NA,Normal
22,9,P4_UBI_male,P2_3xp_male,Male,1,1,61,42,NA,NA,Normal
23,1,P3_UBI_male,P4_UBI_male,Male,1,1,20,32,12,3,Normal
23,2,P3_UBI_male,P4_UBI_male,Male,1,1,41,63,8,0,Normal
23,3,P3_UBI_male,P4_UBI_male,Male,1,1,43,55,NA,NA,Normal
23,4,P3_UBI_male,P4_UBI_male,Male,1,1,37,29,NA,NA,Normal
23,5,P3_UBI_male,P4_UBI_male,Male,1,1,53,52,NA,NA,Normal
24,1,P4_UBI_male,P3_UBI_male,Male,1,1,51,67,3,0,Normal
24,2,P4_UBI_male,P3_UBI_male,Male,1,1,37,43,4,0,Normal
24,4,P4_UBI_male,P3_UBI_male,Male,1,1,40,47,NA,NA,Normal
24,6,P4_UBI_male,P3_UBI_male,Male,1,1,35,54,NA,NA,Normal
24,8,P4_UBI_male,P3_UBI_male,Male,1,1,43,60,NA,NA,Normal
25,1,P5,P6,Control,1,1,58,47,7,2,Normal
25,3,P5,P6,Control,1,1,56,59,NA,NA,Normal
25,4,P5,P6,Control,1,1,0,2,NA,NA,Normal
25,5,P5,P6,Control,1,1,58,48,NA,NA,Normal
25,6,P5,P6,Control,1,1,24,34,NA,NA,Normal
26,2,P6,P5,Control,1,1,28,19,3,0,Normal
26,6,P6,P5,Control,1,1,8,21,12,5,Normal
26,8,P6,P5,Control,1,1,28,17,NA,NA,Normal
26,9,P6,P5,Control,1,1,22,30,NA,NA,Normal
26,10,P6,P5,Control,1,1,64,40,NA,NA,Normal
27,2,P5,P7,Control,1,1,36,43,17,1,Normal
27,3,P5,P7,Control,1,1,36,34,2,4,Normal
27,4,P5,P7,Control,1,1,56,50,NA,NA,Normal
27,5,P5,P7,Control,1,1,38,55,NA,NA,Normal
27,6,P5,P7,Control,1,1,47,35,NA,NA,Normal
28,1,P7,P5,Control,1,1,66,57,5,3,Normal
28,2,P7,P5,Control,1,1,33,33,23,18,Normal
28,4,P7,P5,Control,1,1,50,55,NA,NA,Normal
28,5,P7,P5,Control,1,1,20,13,NA,NA,Normal
28,6,P7,P5,Control,1,1,36,58,NA,NA,Normal
29,1,P5,P8,Control,1,1,18,21,23,18,Normal
29,3,P5,P8,Control,1,1,33,29,12,2,Normal
29,4,P5,P8,Control,1,1,25,28,NA,NA,Normal
29,5,P5,P8,Control,1,1,47,56,NA,NA,Normal
29,7,P5,P8,Control,1,1,63,48,NA,NA,Normal
30,1,P8,P5,Control,1,1,34,50,25,15,Normal
30,3,P8,P5,Control,1,1,38,47,12,3,Normal
30,4,P8,P5,Control,1,1,38,56,NA,NA,Normal
30,6,P8,P5,Control,1,1,28,34,NA,NA,Normal
30,7,P8,P5,Control,1,1,44,52,NA,NA,Normal
31,4,P6,P7,Control,1,1,31,41,18,8,Normal
31,5,P6,P7,Control,1,1,46,45,25,18,Normal
31,6,P6,P7,Control,1,1,10,13,NA,NA,Normal
31,7,P6,P7,Control,1,1,44,44,NA,NA,Normal
31,8,P6,P7,Control,1,1,57,44,NA,NA,Normal
32,2,P7,P6,Control,1,1,35,34,29,19,Normal
32,3,P7,P6,Control,1,1,54,34,3,1,Normal
32,4,P7,P6,Control,1,1,55,44,NA,NA,Normal
32,5,P7,P6,Control,1,1,55,68,NA,NA,Normal
32,6,P7,P6,Control,1,1,46,80,NA,NA,Normal
33,4,P6,P8,Control,1,1,45,42,15,14,Normal
33,5,P6,P8,Control,1,1,35,49,20,6,Normal
33,7,P6,P8,Control,1,1,5,13,NA,NA,Normal
33,8,P6,P8,Control,1,1,33,37,NA,NA,Normal
34,1,P8,P6,Control,1,1,3,4,0,0,Normal
34,2,P8,P6,Control,1,1,22,16,19,7,Normal
34,3,P8,P6,Control,1,1,27,27,NA,NA,Normal
34,5,P8,P6,Control,1,1,4,5,NA,NA,Normal
34,6,P8,P6,Control,1,1,4,4,NA,NA,Normal
35,1,P7,P8,Control,1,1,72,48,3,0,Normal
35,2,P7,P8,Control,1,1,67,59,0,0,Normal
35,3,P7,P8,Control,1,1,53,55,NA,NA,Normal
35,4,P7,P8,Control,1,1,61,54,NA,NA,Normal
35,5,P7,P8,Control,1,1,73,59,NA,NA,Normal
36,1,P8,P7,Control,1,1,55,65,2,1,Normal
36,2,P8,P7,Control,1,1,33,35,5,1,Normal
36,3,P8,P7,Control,1,1,34,40,NA,NA,Normal
36,4,P8,P7,Control,1,1,27,43,NA,NA,Normal
36,5,P8,P7,Control,1,1,59,24,NA,NA,Normal
1,1,P1_UBI_female,P2_UBI_female,Female,1,2,25,23,3,0,Normal
1,4,P1_UBI_female,P2_UBI_female,Female,1,2,51,56,6,0,Normal
1,5,P1_UBI_female,P2_UBI_female,Female,1,2,42,53,0,0,Normal
1,6,P1_UBI_female,P2_UBI_female,Female,1,2,9,21,8,6,Normal
1,8,P1_UBI_female,P2_UBI_female,Female,1,2,29,37,12,3,Normal
2,1,P2_UBI_female,P1_UBI_female,Female,1,2,27,24,3,0,Normal
2,3,P2_UBI_female,P1_UBI_female,Female,1,2,4,6,3,0,Normal
2,5,P2_UBI_female,P1_UBI_female,Female,1,2,40,42,7,0,Normal
2,6,P2_UBI_female,P1_UBI_female,Female,1,2,21,46,3,0,Normal
2,7,P2_UBI_female,P1_UBI_female,Female,1,2,0,0,0,0,Normal
2,8,P2_UBI_female,P1_UBI_female,Female,1,2,37,36,6,1,Normal
2,10,P2_UBI_female,P1_UBI_female,Female,1,2,3,3,0,1,Normal
3,3,P1_UBI_female,P3_3xp_female,Female,1,2,46,54,0,0,Normal
3,5,P1_UBI_female,P3_3xp_female,Female,1,2,14,17,5,0,Normal
3,6,P1_UBI_female,P3_3xp_female,Female,1,2,0,0,0,0,Normal
3,7,P1_UBI_female,P3_3xp_female,Female,1,2,38,48,0,0,Normal
3,8,P1_UBI_female,P3_3xp_female,Female,1,2,14,11,0,0,Normal
3,10,P1_UBI_female,P3_3xp_female,Female,1,2,28,22,2,0,Normal
4,1,P3_3xp_female,P1_UBI_female,Female,1,2,48,44,0,0,Normal
4,2,P3_3xp_female,P1_UBI_female,Female,1,2,39,45,0,0,Normal
4,7,P3_3xp_female,P1_UBI_female,Female,1,2,61,53,1,0,Normal
4,9,P3_3xp_female,P1_UBI_female,Female,1,2,31,10,0,0,Normal
5,2,P1_UBI_female,P4_3xp_female,Female,1,2,62,57,0,0,Normal
5,3,P1_UBI_female,P4_3xp_female,Female,1,2,28,27,1,0,Normal
5,4,P1_UBI_female,P4_3xp_female,Female,1,2,45,49,7,1,Normal
5,5,P1_UBI_female,P4_3xp_female,Female,1,2,25,37,9,6,Normal
5,7,P1_UBI_female,P4_3xp_female,Female,1,2,23,28,0,0,Normal
6,1,P4_3xp_female,P1_UBI_female,Female,1,2,26,43,2,0,Normal
6,6,P4_3xp_female,P1_UBI_female,Female,1,2,59,61,2,2,Normal
6,7,P4_3xp_female,P1_UBI_female,Female,1,2,55,60,0,0,Normal
6,9,P4_3xp_female,P1_UBI_female,Female,1,2,48,51,0,0,Normal
6,10,P4_3xp_female,P1_UBI_female,Female,1,2,57,52,7,3,Normal
7,3,P2_UBI_female,P3_3xp_female,Female,1,2,41,20,0,0,Normal
7,4,P2_UBI_female,P3_3xp_female,Female,1,2,0,0,0,0,Normal
7,5,P2_UBI_female,P3_3xp_female,Female,1,2,58,60,0,0,Normal
7,6,P2_UBI_female,P3_3xp_female,Female,1,2,31,31,0,0,Normal
7,8,P2_UBI_female,P3_3xp_female,Female,1,2,60,54,4,3,Normal
8,3,P3_3xp_female,P2_UBI_female,Female,1,2,5,8,1,1,Normal
8,4,P3_3xp_female,P2_UBI_female,Female,1,2,0,0,0,0,Normal
8,7,P3_3xp_female,P2_UBI_female,Female,1,2,9,4,0,0,Normal
8,10,P3_3xp_female,P2_UBI_female,Female,1,2,48,51,0,0,Normal
9,1,P2_UBI_female,P4_3xp_female,Female,1,2,17,24,0,0,Normal
9,2,P2_UBI_female,P4_3xp_female,Female,1,2,25,34,6,0,Normal
9,4,P2_UBI_female,P4_3xp_female,Female,1,2,0,0,0,0,Normal
9,5,P2_UBI_female,P4_3xp_female,Female,1,2,37,31,3,0,Normal
9,6,P2_UBI_female,P4_3xp_female,Female,1,2,0,0,0,0,Normal
10,2,P4_3xp_female,P2_UBI_female,Female,1,2,57,52,0,0,Normal
10,3,P4_3xp_female,P2_UBI_female,Female,1,2,52,57,1,1,Normal
10,4,P4_3xp_female,P2_UBI_female,Female,1,2,55,50,0,0,Normal
10,5,P4_3xp_female,P2_UBI_female,Female,1,2,57,65,0,0,Normal
10,6,P4_3xp_female,P2_UBI_female,Female,1,2,30,30,4,1,Normal
11,1,P3_3xp_female,P4_3xp_female,Female,1,2,37,25,0,0,Normal
11,3,P3_3xp_female,P4_3xp_female,Female,1,2,55,49,0,0,Normal
11,4,P3_3xp_female,P4_3xp_female,Female,1,2,36,41,0,0,Normal
11,5,P3_3xp_female,P4_3xp_female,Female,1,2,36,34,0,0,Normal
11,7,P3_3xp_female,P4_3xp_female,Female,1,2,9,14,0,0,Normal
12,6,P4_3xp_female,P3_3xp_female,Female,1,2,31,41,0,0,Normal
12,7,P4_3xp_female,P3_3xp_female,Female,1,2,43,27,0,0,Normal
12,8,P4_3xp_female,P3_3xp_female,Female,1,2,49,48,0,0,Normal
12,9,P4_3xp_female,P3_3xp_female,Female,1,2,62,46,0,0,Normal
13,1,P1_3xp_male,P2_3xp_male,Male,1,2,48,44,0,0,Normal
13,2,P1_3xp_male,P2_3xp_male,Male,1,2,46,44,0,0,Normal
13,4,P1_3xp_male,P2_3xp_male,Male,1,2,0,0,0,0,Normal
13,5,P1_3xp_male,P2_3xp_male,Male,1,2,41,57,5,0,Normal
14,2,P2_3xp_male,P1_3xp_male,Male,1,2,51,54,6,2,Normal
14,3,P2_3xp_male,P1_3xp_male,Male,1,2,42,33,2,0,Normal
14,5,P2_3xp_male,P1_3xp_male,Male,1,2,66,51,2,0,Normal
14,6,P2_3xp_male,P1_3xp_male,Male,1,2,43,38,0,0,Normal
14,7,P2_3xp_male,P1_3xp_male,Male,1,2,37,41,0,0,Normal
15,1,P1_3xp_male,P3_UBI_male,Male,1,2,35,39,0,0,Normal
15,2,P1_3xp_male,P3_UBI_male,Male,1,2,21,31,0,0,Normal
15,3,P1_3xp_male,P3_UBI_male,Male,1,2,35,27,0,0,Normal
15,4,P1_3xp_male,P3_UBI_male,Male,1,2,54,65,0,0,Normal
15,5,P1_3xp_male,P3_UBI_male,Male,1,2,54,40,0,0,Normal
16,1,P3_UBI_male,P1_3xp_male,Male,1,2,60,42,1,0,Normal
16,2,P3_UBI_male,P1_3xp_male,Male,1,2,60,73,3,0,Normal
16,3,P3_UBI_male,P1_3xp_male,Male,1,2,57,43,4,1,Normal
16,4,P3_UBI_male,P1_3xp_male,Male,1,2,22,30,0,0,Normal
16,5,P3_UBI_male,P1_3xp_male,Male,1,2,36,32,6,1,Normal
16,7,P3_UBI_male,P1_3xp_male,Male,1,2,27,33,5,1,Normal
17,1,P1_3xp_male,P4_UBI_male,Male,1,2,13,17,0,0,Normal
17,3,P1_3xp_male,P4_UBI_male,Male,1,2,37,34,5,0,Normal
17,4,P1_3xp_male,P4_UBI_male,Male,1,2,49,38,5,0,Normal
17,5,P1_3xp_male,P4_UBI_male,Male,1,2,52,44,0,0,Normal
17,6,P1_3xp_male,P4_UBI_male,Male,1,2,0,0,0,0,Normal
18,2,P4_UBI_male,P1_3xp_male,Male,1,2,54,41,0,0,Normal
18,3,P4_UBI_male,P1_3xp_male,Male,1,2,57,58,2,0,Normal
18,4,P4_UBI_male,P1_3xp_male,Male,1,2,47,50,0,0,Normal
18,6,P4_UBI_male,P1_3xp_male,Male,1,2,42,50,0,0,Normal
18,7,P4_UBI_male,P1_3xp_male,Male,1,2,37,42,0,0,Normal
19,1,P2_3xp_male,P3_UBI_male,Male,1,2,39,38,0,0,Normal
19,3,P2_3xp_male,P3_UBI_male,Male,1,2,43,23,9,0,Normal
19,5,P2_3xp_male,P3_UBI_male,Male,1,2,37,35,5,0,Normal
19,6,P2_3xp_male,P3_UBI_male,Male,1,2,39,33,6,1,Normal
19,8,P2_3xp_male,P3_UBI_male,Male,1,2,34,37,0,0,Normal
20,2,P3_UBI_male,P2_3xp_male,Male,1,2,26,35,0,0,Normal
20,4,P3_UBI_male,P2_3xp_male,Male,1,2,0,1,1,0,Normal
20,5,P3_UBI_male,P2_3xp_male,Male,1,2,42,29,3,0,Normal
20,6,P3_UBI_male,P2_3xp_male,Male,1,2,38,45,1,0,Normal
20,7,P3_UBI_male,P2_3xp_male,Male,1,2,0,0,0,0,Normal
21,1,P2_3xp_male,P4_UBI_male,Male,1,2,39,60,4,1,Normal
21,2,P2_3xp_male,P4_UBI_male,Male,1,2,41,45,5,2,Normal
21,3,P2_3xp_male,P4_UBI_male,Male,1,2,27,33,12,6,Normal
21,5,P2_3xp_male,P4_UBI_male,Male,1,2,32,32,2,1,Normal
21,7,P2_3xp_male,P4_UBI_male,Male,1,2,40,41,9,0,Normal
22,3,P4_UBI_male,P2_3xp_male,Male,1,2,51,50,0,0,Normal
22,6,P4_UBI_male,P2_3xp_male,Male,1,2,37,54,0,0,Normal
22,8,P4_UBI_male,P2_3xp_male,Male,1,2,61,71,0,0,Normal
22,9,P4_UBI_male,P2_3xp_male,Male,1,2,39,49,6,1,Normal
23,1,P3_UBI_male,P4_UBI_male,Male,1,2,4,10,1,0,Normal
23,2,P3_UBI_male,P4_UBI_male,Male,1,2,44,47,2,0,Normal
23,3,P3_UBI_male,P4_UBI_male,Male,1,2,37,30,0,0,Normal
23,4,P3_UBI_male,P4_UBI_male,Male,1,2,15,24,0,0,Normal
23,5,P3_UBI_male,P4_UBI_male,Male,1,2,35,38,5,0,Normal
24,1,P4_UBI_male,P3_UBI_male,Male,1,2,0,0,0,0,Normal
24,2,P4_UBI_male,P3_UBI_male,Male,1,2,37,36,0,0,Normal
24,4,P4_UBI_male,P3_UBI_male,Male,1,2,35,30,0,1,Normal
24,6,P4_UBI_male,P3_UBI_male,Male,1,2,60,33,0,0,Normal
24,8,P4_UBI_male,P3_UBI_male,Male,1,2,NA,NA,NA,NA,Normal
25,1,P5,P6,Control,1,2,43,27,0,0,Normal
25,3,P5,P6,Control,1,2,39,35,0,0,Normal
25,4,P5,P6,Control,1,2,0,0,0,0,Normal
25,5,P5,P6,Control,1,2,42,39,0,0,Normal
25,6,P5,P6,Control,1,2,24,27,1,0,Normal
26,2,P6,P5,Control,1,2,8,11,0,0,Normal
26,6,P6,P5,Control,1,2,12,14,13,0,Normal
26,8,P6,P5,Control,1,2,0,0,0,0,Normal
26,9,P6,P5,Control,1,2,38,47,0,0,Normal
26,10,P6,P5,Control,1,2,33,36,1,0,Normal
27,2,P5,P7,Control,1,2,0,0,0,0,Normal
27,3,P5,P7,Control,1,2,0,0,0,0,Normal
27,4,P5,P7,Control,1,2,24,28,3,0,Normal
27,5,P5,P7,Control,1,2,38,55,1,0,Normal
27,6,P5,P7,Control,1,2,44,43,0,0,Normal
28,1,P7,P5,Control,1,2,37,22,4,1,Normal
28,2,P7,P5,Control,1,2,22,25,6,3,Normal
28,4,P7,P5,Control,1,2,55,60,0,0,Normal
28,5,P7,P5,Control,1,2,60,42,0,0,Normal
28,6,P7,P5,Control,1,2,36,53,0,0,Normal
29,1,P5,P8,Control,1,2,39,32,6,2,Normal
29,3,P5,P8,Control,1,2,9,19,0,0,Normal
29,4,P5,P8,Control,1,2,18,37,0,0,Normal
29,5,P5,P8,Control,1,2,28,24,2,0,Normal
29,7,P5,P8,Control,1,2,51,41,4,2,Normal
30,1,P8,P5,Control,1,2,31,35,6,3,Normal
30,3,P8,P5,Control,1,2,36,21,0,0,Normal
30,4,P8,P5,Control,1,2,50,62,0,0,Normal
30,6,P8,P5,Control,1,2,0,0,0,0,Normal
30,7,P8,P5,Control,1,2,39,49,0,0,Normal
31,4,P6,P7,Control,1,2,47,53,3,2,Normal
31,5,P6,P7,Control,1,2,44,34,9,1,Normal
31,6,P6,P7,Control,1,2,34,53,0,0,Normal
31,7,P6,P7,Control,1,2,40,42,2,0,Normal
31,8,P6,P7,Control,1,2,47,38,5,0,Normal
32,2,P7,P6,Control,1,2,0,0,0,0,Normal
32,3,P7,P6,Control,1,2,24,40,11,0,Normal
32,4,P7,P6,Control,1,2,34,38,1,0,Normal
32,5,P7,P6,Control,1,2,10,10,15,6,Normal
32,6,P7,P6,Control,1,2,52,50,0,0,Normal
33,4,P6,P8,Control,1,2,0,0,0,0,Normal
33,5,P6,P8,Control,1,2,36,36,3,1,Normal
33,7,P6,P8,Control,1,2,9,12,2,1,Normal
33,8,P6,P8,Control,1,2,0,2,0,0,Normal
34,1,P8,P6,Control,1,2,22,14,4,0,Normal
34,2,P8,P6,Control,1,2,52,62,7,0,Normal
34,3,P8,P6,Control,1,2,0,0,0,0,Normal
34,5,P8,P6,Control,1,2,9,22,0,0,Normal
34,6,P8,P6,Control,1,2,0,0,0,0,Normal
35,1,P7,P8,Control,1,2,53,41,2,0,Normal
35,2,P7,P8,Control,1,2,37,37,0,0,Normal
35,3,P7,P8,Control,1,2,45,46,1,0,Normal
35,4,P7,P8,Control,1,2,34,25,0,0,Normal
35,5,P7,P8,Control,1,2,43,44,0,0,Normal
36,1,P8,P7,Control,1,2,14,12,0,0,Normal
36,2,P8,P7,Control,1,2,14,19,0,0,Normal
36,3,P8,P7,Control,1,2,43,44,0,0,Normal
36,4,P8,P7,Control,1,2,19,45,0,0,Normal
36,5,P8,P7,Control,1,2,45,43,0,0,Normal
1,1,P1_UBI_female,P2_UBI_female,Female,1,3,0,0,0,1,Normal
1,4,P1_UBI_female,P2_UBI_female,Female,1,3,0,0,0,0,Normal
1,5,P1_UBI_female,P2_UBI_female,Female,1,3,37,39,8,3,Normal
1,6,P1_UBI_female,P2_UBI_female,Female,1,3,21,13,11,14,Normal
1,8,P1_UBI_female,P2_UBI_female,Female,1,3,17,27,35,14,Normal
2,1,P2_UBI_female,P1_UBI_female,Female,1,3,17,17,9,6,Normal
2,3,P2_UBI_female,P1_UBI_female,Female,1,3,4,6,7,2,Normal
2,5,P2_UBI_female,P1_UBI_female,Female,1,3,23,27,32,15,Normal
2,6,P2_UBI_female,P1_UBI_female,Female,1,3,36,37,18,14,Normal
2,7,P2_UBI_female,P1_UBI_female,Female,1,3,0,0,0,0,Normal
2,8,P2_UBI_female,P1_UBI_female,Female,1,3,19,21,6,1,Normal
2,10,P2_UBI_female,P1_UBI_female,Female,1,3,0,0,0,1,Normal
